address,area,city,hotel_description,hotel_facilities,hotel_star_rating,image_urls,latitude,longitude,property_name,property_type,room_area,room_count,room_facilities,room_type,state,tad_review_count,tad_review_rating,tad_stay_review_rating,room_price,occupancy,additional_info
"Hotel Hill view, Hill Road, Madikeri",Madikeri,Coorg,"Hotel Hill View is a budget hotel located amidst the misty woods of Coorg. The well- furnished rooms decorated with handcrafted antiques provide guests the perfect ambience to relax and unwind. The hotel has a multi-cuisine restaurant where guests can savor culinary delights from around the world.Location: Hotel Hill View is located at Hill road, Madikeri. Omkareshwara temple (Approx. 0.5km) and the Abbi Falls (Approx. 6km) are nearby places to visit from the hotel. Abbi Falls is located around 8 km away from the town of Madikeri, in the mountains of the Western Ghats. Nestled between a private coffee plantations and spice estates, this waterfall descends into the Cauvery River. Guests can also visit Bylakuppe, Madikeri Fort and the Mandalpatti from the hotel.Distance from Mangalore Airport: Approx. 173kmsDistance from Thalassery Railway Station: Approx. 113kms Hotel Features: The hotel provides all the necessary amenities for both for leisure and business travellers. Room service, internet, 24-hour front desk, parking, travel desk, 24-hour security and doctor- on call. Corporate guests are ensured with business centre and can enjoy a stress- free stay. Rooms: Guests can choose triple deluxe, double super deluxe and double deluxe room for accommodation. Equipped with colour television and safe, these rooms are well-furnished and spacious for a comfortable stay in Coorg.",Business Services:Business Center|Basics:Internet|Doorman|Housekeeping|Doctor on Call|Travel:Travel Desk|Parking|Transportation Service|Personal Services:24 Hour Front Desk|Laundry|Room Service|Hotel Amenities:24-Hour Security|No Category:Free Newspaper|Front Desk|Phone Service,2 Star hotel,http://ui.cltpstatic.com/places/hotels/3142/314283/images/Hotel_Hill_View_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/home_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/ADS_8472_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/erer_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/rtr_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/ADS_0253_-_Copy_-_Copy_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/roo4_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/ADS_0258_-_Copy_(2)_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/room_1_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/room_4_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/DSC_2613_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/aaaa_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/ghg_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/Bath_Room_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/ghgh_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/ADS_8485_w.jpg|http://ui.cltpstatic.com/places/hotels/3142/314283/images/ADS_8507_w.jpg,12.421316000000001,75.740367,Hotel Hill View,Resort,19 X 19 Sq.ft.,20,Luggage Rack | Private Bathroom | Safe Television | Telephone | Express Laundry Service In-Room Menu | Newspaper,Triple Deluxe,Karnataka,101.0,3.0,Location::3.5|Rooms::3.0|Service::3.0|Value::3.0|Cleanliness::3.0|Sleep Quality::3.0,865per night incl. tax,0 Adult 2 Kids,Room Service|Internet Access|Swimming Pool|Restaurant
"# 1-405, Corporate Bank Building, 1st Block, BM Road Kushalnagar",Kushalnagar,Coorg,"Hotel Kodagu Plaza, Coorg is a pocket- friendly hotel that provides all the amenities for a relaxed stay. The refreshing atmosphere, beautiful setting and a touch of traditional Indian hospitality make the experience truly memorable. Location: Hotel Kodagu Plaza, is located at 1-405, Corporate Bank Building, 1st Block, BM road Kushalnagar. Namdroling Monastery (Approx. 3km) and the Nisargadhama Reserve (Approx. 4km) are some of the hot spots that guests can venture from the hotel. Namdroling Monastery belongs to Sangha Community, where Buddha’s preachings are preserved intact for worldwide propagation. Other places that can be visited include Nagarhole Park, Iruppu Falls and the Gaddige.Distance from Mangalore Airport: Approx. 204kmsDistance from Thalassery Railway Station: Approx.127kmsHotel Features: Guests are ensured to stay hassle-free with wide array of amenities. The basic services include room service, travel desk, 24-hour front desk and doctor-on-call. Rooms: Double rooms are the accommodation options offered to the guests during the stay. These rooms are very simple, yet comfortable. Colour television and telephone are the in-room amenities provided to the guests.",Travel:Travel Desk|Transportation Service|Personal Services:24 Hour Front Desk|Laundry|Room Service|Hotel Amenities:24-Hour Security|Basics:Doorman|Housekeeping|Doctor on Call|No Category:Front Desk|Phone Service,2 Star hotel,http://ui.cltpstatic.com/places/hotels/2113/211354/images/Kodagu_Plaza_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211354/images/gfg_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211354/images/kodagaroom_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211354/images/kodaga_bed_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211354/images/fddfdfdfd_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211354/images/erer_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211354/images/rdrdf_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211354/images/sdfdf_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211354/images/ssd_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211354/images/tgh_w.jpg,12.45177,75.96768,Hotel Kodagu Plaza,Hotel,17 X 17 Sq.ft.,8,Private Bathroom | Luggage Rack | Telephone | Television | Ceiling Fan,Double,Karnataka,8.0,2.5,Location::3.0|Rooms::2.5|Service::2.5|Value::3.5|Cleanliness::3.5|Sleep Quality::2.5,1417per night incl. tax,2 Adults 1 Kid,Room Service|Internet Access|Gym/Spa|Restaurant
"Block No 16, G.T. Road, Behind Lion's Club",Madikeri,Coorg,"If the visitors are looking for a comfortable yet affordable stay option in Madikeri, they must check out Vista Rooms at GT Road. The property is well suited for business as well as leisure travellers.",Food &amp; Beverage:Restaurant|Coffee Shop|Travel:Travel Desk|Free Parking|Personal Services:Room Service|Basics:Non-Smoking Rooms,3 Star hotel,http://ui.cltpstatic.com/places/hotels/1323/1323780/images/bed_w.jpg|http://ui.cltpstatic.com/places/hotels/1323/1323780/images/bed2_w.jpg|http://ui.cltpstatic.com/places/hotels/1323/1323780/images/rec_w.jpg,12.424592,75.738469,Vista Rooms at GT Road,Hotel,22 X 18 Sq.ft.,13,Air Conditioning| Television| Iron| Safe | Telephone | Newspaper Mirror Hangers | Satellite Television | Private Bathroom | Writing Desk / Study Table,Standard Room,Karnataka,,,,445per night incl. tax,1 Adult 2 Kids,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant|Free Internet
"7th Hoskote, Suntikoppa, Kodagu Dist,",Suntikoppa,Coorg,"Hotel Coorg County Resorts, Coorg creates a characteristic personal feeling and heady ambiance with its lush green sceneries. This hotel is tastefully designed and richly decorated with style. Guests can enjoy a pleasant stay at this hotel while visiting the tourist destination in and around coorg. Location: Hotel Coorg County Resorts is located at Hoskote, Sunticoppa. St Antony's Church (Approx. 5km) and Cauvery Nisargadhama (Approx. 8km) are nearby places to visit from the hotel. Cauvery Nisargadhama is an island created by a cluster of islets formed by Cauvery River. Situated 30 km away from Madikeri, this island is a popular picnic spot that features lush foliage of bamboo groves, sandalwood and teak trees. Gaddige, Mallalli Falls and Mandalpatti are other worth-exploring destinations in Coorg.Distance from Mangalore Railway Station: Approx. 199kmsDistance from Mangalore Airport: Approx. 203kmsHotel Features: The Coorg County Resorts bestows great comfort and pleasant stay to its guests. Impressive with efficient services, the hotel offers basic amenities like room service, parking, doctor on call and housekeeping service. The hotel offers health and fitness centre amenities like gym, health club, sauna and steam bath that help the guests to stick to their workout. The swimming pool is a great attraction offers pure fun to guests and their whole family. Guests also get entertained with various indoor games in the game room. One of the great entertainment features of this resort is the elephant ride through the bamboo groves. The hotel also provides business services with its modern amenities that include audio visual equipment, LCD/projector, meeting facilities, conference equipments and internet. Equipped with elevators, it is more convenient for the guests to board the rooms. With its well-designed restaurant, bar and coffee shop, the resort serves mouth-watering Chinese, Continental and Indian cuisine. Rooms: The Coorg County Resorts offers standard villa, deluxe rooms and palace villa for accommodation. This hotel offers spacious rooms that are fully furnished and tastefully decorated with amenities like air conditioning, colour television, telephone and in-room menu.",Basic Room Amenities:Air Conditioning|Food &amp; Beverage:Bar|Restaurant|Coffee Shop|Business Services:Business Center|Audio Visual Equipment|LCD / Projector|Meeting Facility|Conference Hall|Basics:Internet|Air Conditioning|Lift|Non-Smoking Rooms|Doorman|Housekeeping|Banquet Facility|Doctor on Call|Recreation:Kids Pool|Gym|Indoor Games|Health Club|Sauna|Steam Bath|Travel:Travel Desk|Parking|Transportation Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|No Category:Conference facilities|Business services|Front Desk|Phone Service|Hotel Amenities:24-Hour Security,3 Star hotel,http://ui.cltpstatic.com/places/hotels/2113/211304/images/hote_extieor2_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/ho_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/hotel_extioer11_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/guestroom1_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/guestroom3_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/guestroom4_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/guestroom5_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/guestroom6_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/bathroom_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/living_area_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/restaurnat_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/swimming_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/swimming1_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/cottage_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/exteior2_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/exterior1_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/h1_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/ho1_w.jpg|http://ui.cltpstatic.com/places/hotels/2113/211304/images/hotel_view_w.jpg,12.438758,75.8678,Coorg County Resorts,Resort,12 X 10 Sq.ft.,16,Air Conditioning| Television| Iron | Telephone | Newspaper Mirror In-Room Menu Laundry Bag | Satellite Television | Private Bathroom | Luggage Rack,Standard Villa AC,Karnataka,66.0,3.0,Location::3.5|Rooms::3.0|Service::3.5|Value::3.0|Cleanliness::3.0|Sleep Quality::3.5,2667per night incl. tax,2 Adults 2 Kids,Restaurant
"Rama Nivasa. Near Vivus Hospital, Daswal Road, MADIKERI.",Madikeri,Coorg,Quite close to Bus Station Flora Homes is a nice and calm place to stay away from mundane life. Enjoy ultimate relaxation in calm room environment. Free internet connectivity facility let guests connected on the web.,Basics:Internet|Complimentary Wi-Fi access|Personal Services:Laundry|Room Service|Travel:Parking,1 Star hotel,http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-BR-3_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA_HOMES_1A_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/z_FLORA_HOMES__villa-_2Bin1_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA_HOMES_1_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-BR-1_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-BR-2_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-BR-4_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-BR-5_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-BTH_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-BTH2_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-HBT_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-DINING_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA_HOMES-_LB_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-HALL_w.jpg|http://ui.cltpstatic.com/places/hotels/1345/1345424/images/FLORA-HALL2_w.jpg,12.425657000000001,75.739419,Flora Homes,Hotel,12 X 14 Sq.ft.,7,Television| Internet / Broadband | Hot Water | Mineral Water | Toiletries | Private Bathroom,Double Bed Room,Karnataka,,,,834per night incl. tax,2 Adults 2 Kids,Room Service|Gym/Spa|Swimming Pool|Restaurant|Free Internet
"Nangala village,Bittangala post Virajpet",South Coorg,Coorg,"I It is Kotekaad dreams, not only for you, but for a variety of nature's bounty... exotic birds and increasingly rare animals. The lush green that surrounds the house supports many birds that fill the air with their song. The cottage is surrounded by coffee, pepper and arecanut. Emerald green paddy fields link the cottages too.Kotekaad dreams is for the people who love nature and wanted to explore nature by being part of it. In Coorg, stay at the beautiful home of Kotekaad dreams at the Kotekaad estate, We are warm and welcoming hosts who will make you feel right at home, however clichd it sounds! Interesting conversations, great food, and a wonderful stay.Kotekaad dreams is tucked into a little village which is off the main road. There are no other commercial establishments nearby which makes it very quiet and serene.The Kotekaad dreams stay offers the guest a variety of authentic coorgie dishes & refreshing drinks .One can explore the finest kodava (coorgi) dishes. For traditional hospitality, food and exchange the unique culture of this tiny district.",Basics:Internet|Express Check-In|Express Check-Out|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Free Parking|Outdoor Parking|Personal Services:Room Service,1 Star hotel,http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150317-WA0013_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150608-WA0036_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150524-WA0052_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150608-WA0033_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150331-WA0028_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150524-WA0053_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150829-WA0008_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150310-WA0002_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150317-WA0012_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150317-WA0028_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150829-WA0009_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150829-WA0010_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150829-WA0011_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150317-WA0009_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150325-WA0020_w.jpg|http://ui.cltpstatic.com/places/hotels/1336/1336642/images/IMG-20150602-WA0037_w.jpg,12.181388,75.828484,Coorg Kotekaad Dreams,Hotel,16 X 16 Sq.ft.,0,Telephone | Hot Water | Toiletries | Private Bathroom,Cottage,Karnataka,37.0,5.0,Location::5.0|Rooms::4.5|Service::5.0|Value::5.0|Cleanliness::5.0|Sleep Quality::5.0,1179per night incl. tax,2 Adults 2 Kids,Room Service|Restaurant
Thalthmane Post Katakeri Village Madikeri,Madikeri,Coorg,OYO Homes Forest Valley Madikeri Coorg invite guests into a world of comfort and simplicity. The well-maintained rooms with essential amenities make it a preferred lodging destination among leisure travellers.,Basics:Internet|Pets Allowed|Doorman|Housekeeping|Complimentary Wi-Fi access|24 Hour Power Supply|Personal Services:24 Hour Front Desk|Room Service|Travel:Parking|Hotel Amenities:24-Hour Security|Recreation:Kids Play Area|Garden,3 Star hotel,http://ui.cltpstatic.com/places/hotels/1350/1350158/images/1350158-2_w.jpg|http://ui.cltpstatic.com/places/hotels/1350/1350158/images/1350158-1_w.jpg|http://ui.cltpstatic.com/places/hotels/1350/1350158/images/1350158-5_w.jpg|http://ui.cltpstatic.com/places/hotels/1350/1350158/images/1350158-6_w.jpg|http://ui.cltpstatic.com/places/hotels/1350/1350158/images/1350158-3_w.jpg|http://ui.cltpstatic.com/places/hotels/1350/1350158/images/1350158-4_w.jpg,12.410221,75.73438,OYO Homes Forest Valley Madikeri Coorg,Service Apartment,10 X 12 Sq.ft.,15,Television| Safe | Wardrobe | Wake-Up Call Service,Standard Room Non AC,Karnataka,,,,307per night incl. tax,1 Adult 1 Kid,Room Service|Restaurant|Free Internet
"Kadanga Muroor village and post, Virajpet, South Coorg",Virajpet,Coorg,"At 4th Mile Inn, with the serenity of chirping birds, clean fresh air, lazy walks among the woods in the mist, bathe at the gurgling streams nearby..and experience the rains, the festivals, the people, the food and much more.",Travel:Parking|Travel Desk|Personal Services:24 Hour Front Desk|Basics:Pets Allowed|Food &amp; Beverage:Barbeque|Cook on call,2 Star hotel,http://ui.cltpstatic.com/places/hotels/7610/761092/images/hotl_w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/hotl1_w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/hotel_exteior_w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/guesoom3_w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/guesroom_w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/guesro_w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/bathroo__w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/gard_w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/d_w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/sttayir_w.jpg|http://ui.cltpstatic.com/places/hotels/7610/761092/images/living_w.jpg,12.223141930954506,75.77352851629256,4th Mile Inn,Service Apartment,14 X 14 Sq.ft.,4,Toiletries | Private Bathroom,Double Bedroom,Karnataka,35.0,4.5,Location::4.5|Rooms::4.5|Service::4.5|Value::4.5|Cleanliness::4.5|Sleep Quality::4.5,756per night incl. tax,2 Adults 2 Kids,Room Service|Restaurant
"Near Raja Seat,Opp. SP Bungalow, Race Course Road,Madikeri",Madikeri,Coorg,"Boasting a hospitality that is comparable to home, guests can surely enjoy a relaxed stay at Hotel Le Coorg. Along with the well-appointed rooms, even the numerous recreational activities ensure that the guests enjoy a memorable stay.",Business Services:Business Center|Food &amp; Beverage:Restaurant|No Category:Shopping|Travel:Travel Desk|Parking|Personal Services:24 Hour Front Desk|Laundry|Room Service|Basics:Lift|Doorman|Housekeeping|Doctor on Call|Hotel Amenities:24-Hour Security,2 Star hotel,http://ui.cltpstatic.com/places/hotels/7300/730098/images/Family_Suite_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/re_v_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Hotel_-_Main_View_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Hotel_-_Rear_View_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Hotel-RightView_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/cori_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Corridor_New_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Corridor1_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Executive_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Executives_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Super_Deluxe_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/SuperD_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/42Inch_TV_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Amnities_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Executive_Suite_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Family_Suite_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/bath_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Bathroom_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/in_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Familys_w.jpg|http://ui.cltpstatic.com/places/hotels/7300/730098/images/Basement_Parking_w.jpg,12.419502,75.734945,Hotel Le Coorg,Resort,12 X 12 Sq.ft.,17,Television | Refrigerator Ceiling Fan Mineral Water Fruit Basket Flat Screen Television | Tea / Coffee maker | Private Bathroom | Luggage Rack,Super Deluxe Room Non A/C,Karnataka,204.0,4.5,Location::4.5|Rooms::4.5|Service::4.5|Value::4.0|Cleanliness::4.5|Sleep Quality::4.5,1112per night incl. tax,2 Adults 2 Kids,Restaurant
"Betathur, Bhagamandala Hobli, Madikeri Taluk",Madikeri,Coorg,"Three Hills, Coorg, is nestled amidst ever-lasting greenery to offer a peaceful getaway to city dwellers. This property has the best of services to ensure a comforting stay to the vacationers. Each room is enclosed with wooden walls and features prominent facilities. Guests are served with delightful hospitality and a memorable accommodation experience. With a picturesque panorama around, one gets the chance to immerse in natures abundance.LocationThis hotel stands tall in Madikeri Taluk and lies in closest linking to destinations like Abbi Falls 29km (approx.), Nisargadhama Forest 20km (approx.), Dubare Elephant Camp 50km (approx.), Raja's Seat 23km (approx.), Talacauvery 23km (approx.), Omkareshwara Temple 25km (approx.) and Namdroling Monastery 57km (approx.).Mangalore Airport- 161km (approx.)Mangalore Central Railway Station- 151km (approx.)FacilitiesPower back-up, parking and outdoor activities are major facilities offered by this property. This hotel is supported with continuous power back-up to ensure comfort and convenience to the patrons. There is ample space in the parking lot to accommodate safe placement of vehicles. Vacationers can enjoy a range of outdoor activities like bird watching, cycling, and wildlife safari.Rooms Three Hills has few neatly appointed rooms in two categories- Superior villa guest room and Deluxe cottage to offer for lodging. Each room is highly snug in ambiance and is decked up with polished wooden furnishing. Guests get access to services like tea/coffee maker, in-room safe, TV and attached bathroom. Every bathroom is well equipped and has continuous supply of hot and cold water.",Travel:Parking|Free Parking|Personal Services:Room Service|Recreation:Indoor Games|Basics:Housekeeping,1 Star hotel,http://ui.cltpstatic.com/places/hotels/7393/739322/images/50_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/49_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/51_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/52_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/54_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/58_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/65_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/66_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/70_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/78_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/10_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/21_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/60_w.jpg|http://ui.cltpstatic.com/places/hotels/7393/739322/images/16_w.jpg,12.398337699999999,75.6405501,Leisure Vacations Three Hills Resort,Service Apartment,15 X 15 Sq.ft.,4,Television | Satellite Television | Wooden Floor | Private Bathroom | Luggage Rack,Deluxe Villa,Karnataka,46.0,4.5,Location::4.5|Rooms::4.5|Service::4.5|Value::4.5|Cleanliness::4.5|Sleep Quality::4.5,6864per night incl. tax,1 Adult 2 Kids,Room Service|Internet Access|Restaurant
"Kannika International, 4-12(3), I.B. Road, Kushalnagar",Kushalnagar,Coorg,"One can have a joyous stay at Kannika International, thanks to its simple rooms, essential amenities and homely ambience. Additionally, one can savour tempting meals at the in-house restaurant.",Food &amp; Beverage:Bar|Restaurant|Coffee Shop|Travel:Travel Desk|Parking|Transportation Service|Personal Services:24 Hour Front Desk|Laundry|Room Service|Hotel Amenities:24-Hour Security|Business Services:Conference Hall|Basics:Doorman|Housekeeping|Doctor on Call|No Category:Front Desk|Phone Service,2 Star hotel,http://ui.cltpstatic.com/places/hotels/1592/159299/images/k_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/7-29-2013_6-17-13_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/7-29-2013_6-21-11_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/7-29-2013_6-22-08_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/7-29-2013_6-22-29_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/7-29-2013_6-21-42_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/7-29-2013_6-22-51_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/7-29-2013_6-23-19_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/7-29-2013_6-23-40_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/Room 1_w.jpg|http://ui.cltpstatic.com/places/hotels/1592/159299/images/Restaurant & Bar_w.jpg,12.4580521,75.95991049999999,Kannika International,Hotel,15 X 15 Sq.ft.,16,Air Conditioning| Television| Iron| Safe| Telephone | Hot Water | Newspaper Intercom Hangers In-Room Menu Laundry Bag | Satellite Television | Private Bathroom | Luggage Rack,Deluxe Room,Karnataka,15.0,3.0,Location::4.0|Rooms::2.5|Service::3.0|Value::3.5|Cleanliness::2.5|Sleep Quality::3.0,400per night incl. tax,1 Adult 1 Kid,Room Service|Internet Access|Restaurant
"Saatvik Home Stays Kushalnagar, Kudige Road",Kushalnagar,Coorg,A peaceful resting place situated around beautiful landscapes of Coorg. Calm ambiance of the hotel makes your stay memorable.,Travel:Parking|Outdoor Parking|Basics:24 Hour Power Supply,1 Star hotel,http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0008_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0007_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0012_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0013_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0014_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0017_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0018_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0007_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0010_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0002_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0003_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0005_w.jpg|http://ui.cltpstatic.com/places/hotels/1332/1332942/images/IMG-20151130-WA0006_w.jpg,12.49808,75.936041,Saatvik Home Stays,Hotel,12 X 13 Sq.ft.,5,Television| Telephone| Spare Mattress | Hot Water | Toiletries Mirror Marble Floor | Satellite Television | Private Bathroom,Deluxe Room,Karnataka,,,,473per night incl. tax,2 Adults 2 Kids,Room Service|Gym/Spa|Swimming Pool|Restaurant
